"ticker","year","quarter","start_price","end_price","quarterly_return_pct"
"AAPL","2021","3","137.27","146.06","6.40"
"AAPL","2021","3","137.27","148.36","8.08"
"AAPL","2021","3","137.27","145.37","5.90"
"AAPL","2021","3","137.27","151.12","10.09"
"AAPL","2021","3","137.27","146.83","6.96"
"AAPL","2021","3","137.27","146.39","6.64"
"AAPL","2021","3","137.27","148.97","8.52"
"AAPL","2021","3","137.27","149.03","8.57"
"AAPL","2021","3","137.27","142.45","3.77"
"AAPL","2021","3","137.27","149.62","9.00"
"AAPL","2021","3","137.27","145.40","5.92"
"AAPL","2021","3","137.27","154.30","12.41"
"AAPL","2021","3","137.27","146.14","6.46"
"AAPL","2021","3","137.27","146.80","6.94"
"AAPL","2021","3","137.27","145.60","6.07"
"AAPL","2021","3","137.27","148.56","8.22"
"AAPL","2021","3","137.27","148.89","8.47"
"AAPL","2021","3","137.27","144.98","5.62"
"AAPL","2021","3","137.27","146.36","6.62"
"AAPL","2021","3","137.27","145.86","6.26"
"AAPL","2021","3","137.27","141.50","3.08"
"AAPL","2021","3","137.27","148.60","8.25"
"AAPL","2021","3","137.27","151.83","10.61"
"AAPL","2021","3","137.27","148.12","7.90"
"AAPL","2021","3","137.27","145.85","6.25"
"AAPL","2021","3","137.27","139.96","1.96"
"AAPL","2021","3","137.27","148.99","8.54"
"AAPL","2021","3","137.27","148.19","7.96"
"AAPL","2021","3","137.27","149.55","8.95"
"AAPL","2021","3","137.27","149.10","8.62"
"AAPL","2021","3","137.27","152.51","11.10"
"AAPL","2021","3","137.27","150.19","9.41"
"AAPL","2021","3","137.27","145.11","5.71"
"AAPL","2021","4","142.65","142.90","0.18"
"AAPL","2021","4","142.65","141.11","-1.08"
"AAPL","2021","4","142.65","163.76","14.80"
"AAPL","2021","4","142.65","152.57","6.95"
"AAPL","2021","4","142.65","142.81","0.11"
"AAPL","2021","4","142.65","171.14","19.97"
"AAPL","2021","4","142.65","161.94","13.52"
"AAPL","2021","4","142.65","175.74","23.20"
"AAPL","2021","4","142.65","149.32","4.68"
"AAPL","2021","4","142.65","141.51","-0.80"
"AAPL","2021","4","142.65","175.08","22.73"
"AAPL","2021","4","142.65","150.44","5.46"
"AAPL","2021","4","142.65","169.75","19.00"
"AAPL","2021","4","142.65","160.55","12.55"
"AAPL","2021","4","142.65","157.87","10.67"
"AAPL","2021","4","142.65","148.76","4.28"
"AAPL","2021","4","142.65","148.69","4.23"
"AAPL","2021","4","142.65","142.65","0.00"
"AAPL","2021","4","142.65","151.28","6.05"
"AAPL","2021","4","142.65","178.20","24.92"
"AAPL","2021","4","142.65","150.00","5.15"
"AAPL","2021","4","142.65","142.00","-0.46"
"AAPL","2021","4","142.65","180.33","26.41"
"AAPL","2021","4","142.65","171.18","20.00"
"AAPL","2021","4","142.65","160.24","12.33"
"AAPL","2021","4","142.65","150.02","5.17"
"AAPL","2021","4","142.65","172.26","20.76"
"AAPL","2021","4","142.65","179.45","25.80"
"AAPL","2021","4","142.65","179.29","25.69"
"AAPL","2021","4","142.65","139.14","-2.46"
"AAPL","2021","4","142.65","179.30","25.69"
"AAPL","2021","4","142.65","176.28","23.58"
"AAPL","2021","4","142.65","174.33","22.21"
"AAPL","2021","4","142.65","172.99","21.27"
"AAPL","2021","4","142.65","177.57","24.48"
"AAPL","2021","4","142.65","179.38","25.75"
"AAPL","2021","4","142.65","161.41","13.15"
"AAPL","2021","4","142.65","175.64","23.13"
"AAPL","2021","4","142.65","147.87","3.66"
"AAPL","2021","4","142.65","143.29","0.45"
"AAPL","2021","4","142.65","140.91","-1.22"
"AAPL","2021","4","142.65","161.84","13.45"
"AAPL","2021","4","142.65","150.96","5.83"
"AAPL","2021","4","142.65","149.26","4.63"
"AAPL","2021","4","142.65","161.02","12.88"
"AAPL","2021","4","142.65","149.48","4.79"
"AAPL","2021","4","142.65","164.77","15.51"
"AAPL","2021","4","142.65","151.00","5.85"
"AAPL","2021","4","142.65","151.49","6.20"
"AAPL","2021","4","142.65","174.56","22.37"
"AAPL","2021","4","142.65","165.32","15.89"
"AAPL","2021","4","142.65","147.92","3.69"
"AAPL","2021","4","142.65","150.81","5.72"
"AAPL","2021","4","142.65","148.64","4.20"
"AAPL","2021","4","142.65","143.76","0.78"
"AAPL","2021","4","142.65","146.55","2.73"
"AAPL","2021","4","142.65","144.84","1.54"
"AAPL","2021","4","142.65","148.96","4.42"
"AAPL","2021","4","142.65","156.81","9.93"
"AAPL","2021","4","142.65","149.80","5.01"
"AAPL","2021","4","142.65","153.49","7.60"
"AAPL","2021","4","142.65","165.30","15.88"
"AAPL","2021","4","142.65","148.85","4.35"
"AAPL","2021","4","142.65","149.99","5.15"
"AAPL","2022","1","182.01","162.74","-10.59"
"AAPL","2022","1","182.01","172.12","-5.43"
"AAPL","2022","1","182.01","159.22","-12.52"
"AAPL","2022","1","182.01","159.30","-12.48"
"AAPL","2022","1","182.01","169.80","-6.71"
"AAPL","2022","1","182.01","175.53","-3.56"
"AAPL","2022","1","182.01","172.55","-5.20"
"AAPL","2022","1","182.01","163.20","-10.33"
"AAPL","2022","1","182.01","157.44","-13.50"
"AAPL","2022","1","182.01","158.52","-12.91"
"AAPL","2022","1","182.01","170.21","-6.48"
"AAPL","2022","1","182.01","175.60","-3.52"
"AAPL","2022","1","182.01","168.64","-7.35"
"AAPL","2022","1","182.01","150.62","-17.25"
"AAPL","2022","1","182.01","160.07","-12.05"
"AAPL","2022","1","182.01","159.59","-12.32"
"AAPL","2022","1","182.01","165.12","-9.28"
"AAPL","2022","1","182.01","164.32","-9.72"
"AAPL","2022","1","182.01","159.78","-12.21"
"AAPL","2022","1","182.01","159.69","-12.26"
"AAPL","2022","1","182.01","170.33","-6.42"
"AAPL","2022","1","182.01","172.90","-5.01"
"AAPL","2022","1","182.01","166.56","-8.49"
"AAPL","2022","1","182.01","171.66","-5.69"
"AAPL","2022","1","182.01","168.82","-7.25"
"AAPL","2022","1","182.01","172.19","-5.40"
"AAPL","2022","1","182.01","182.01","0.00"
"AAPL","2022","1","182.01","164.85","-9.43"
"AAPL","2022","1","182.01","165.38","-9.14"
"AAPL","2022","1","182.01","174.07","-4.36"
"AAPL","2022","1","182.01","177.77","-2.33"
"AAPL","2022","1","182.01","162.41","-10.77"
"AAPL","2022","1","182.01","175.84","-3.39"
"AAPL","2022","1","182.01","173.07","-4.91"
